 1 0.9945219 0.104528464 1
 61 0.9945219 0.104528464 0
 121 0.6630146 0.069685645 1
 181 0.6630146 0.069685645 0
 2 0.9781476 0.20791169 1
 62 0.9781476 0.20791169 0
 122 0.6520984 0.1386078 1
 182 0.6520984 0.1386078 0
 3 0.95105654 0.309017 1
 63 0.95105654 0.309017 0
 123 0.6340377 0.20601134 1
 183 0.6340377 0.20601134 0
 4 0.9135454 0.40673664 1
 64 0.9135454 0.40673664 0
 124 0.6090303 0.27115777 1
 184 0.6090303 0.27115777 0
 5 0.8660254 0.5 1
 65 0.8660254 0.5 0
 125 0.57735026 0.33333334 1
 185 0.57735026 0.33333334 0
 6 0.809017 0.58778524 1
 66 0.809017 0.58778524 0
 126 0.53934467 0.39185685 1
 186 0.53934467 0.39185685 0
 7 0.7431448 0.6691306 1
 67 0.7431448 0.6691306 0
 127 0.4954299 0.4460871 1
 187 0.4954299 0.4460871 0
 8 0.6691306 0.7431448 1
 68 0.6691306 0.7431448 0
 128 0.4460871 0.4954299 1
 188 0.4460871 0.4954299 0
 9 0.58778524 0.809017 1
 69 0.58778524 0.809017 0
 129 0.39185685 0.53934467 1
 189 0.39185685 0.53934467 0
 10 0.5 0.8660254 1
 70 0.5 0.8660254 0
 130 0.33333334 0.57735026 1
 190 0.33333334 0.57735026 0
 11 0.40673664 0.9135454 1
 71 0.40673664 0.9135454 0
 131 0.27115777 0.6090303 1
 191 0.27115777 0.6090303 0
 12 0.309017 0.95105654 1
 72 0.309017 0.95105654 0
 132 0.20601134 0.6340377 1
 192 0.20601134 0.6340377 0
 13 0.20791169 0.9781476 1
 73 0.20791169 0.9781476 0
 133 0.1386078 0.6520984 1
 193 0.1386078 0.6520984 0
 14 0.104528464 0.9945219 1
 74 0.104528464 0.9945219 0
 134 0.069685645 0.6630146 1
 194 0.069685645 0.6630146 0
 15 0.0 1.0 1
 75 0.0 1.0 0
 135 0.0 0.6666667 1
 195 0.0 0.6666667 0
 16 -0.104528464 0.9945219 1
 76 -0.104528464 0.9945219 0
 136 -0.069685645 0.6630146 1
 196 -0.069685645 0.6630146 0
 17 -0.20791169 0.9781476 1
 77 -0.20791169 0.9781476 0
 137 -0.1386078 0.6520984 1
 197 -0.1386078 0.6520984 0
 18 -0.309017 0.95105654 1
